Abbreviation	Subsystem_new	removed_duplicate_subsystem	evidence
r_0485	sce00480  glutathione metabolism 	sce00270 Cysteine and methionine metabolism	ito980
r_0486	sce00010  glycolysis / gluconeogenesis 		
r_0487	sce00561  glycerolipid metabolism 		
r_0488	sce00561  glycerolipid metabolism 		
r_0489	sce00561  glycerolipid metabolism 		
r_0490	sce00564  glycerophospholipid metabolism 		
r_0491	sce00564  glycerophospholipid metabolism 	sce04011 MAPK signaling pathway – yeast	MNX
r_0492	sce00564  glycerophospholipid metabolism 	sce04011 MAPK signaling pathway – yeast	MNX
r_0497	sce00564  glycerophospholipid metabolism 		
r_0499	sce00230  purine metabolism 	sce00670 One carbon pool by folate	ito980
r_0500	glycine, serine, alanine and threonine metabolism		imm904
r_0501	sce00260  glycine, serine and threonine metabolism 	sce00280 Valine, leucine and isoleucine degradation   sce00620 Pyruvate metabolism   sce00630 Glyoxylate and dicarboxylate metabolism   sce00640 Propanoate metabolism   sce00670 One carbon pool by folate  sce00010 Glycolysis   Gluconeogenesis   sce00020 Citrate cycle (TCA cycle)	ito980 and imm904
r_0502	sce00260  glycine, serine and threonine metabolism 	sce00630 Glyoxylate and dicarboxylate metabolism   sce00670 One carbon pool by folate	ito980
r_0503	sce00260  glycine, serine and threonine metabolism 	sce00630 Glyoxylate and dicarboxylate metabolism   sce00670 One carbon pool by folate	ito980
r_0504	sce00260  glycine, serine and threonine metabolism 	sce00010 Glycolysis   Gluconeogenesis   sce00020 Citrate cycle (TCA cycle)   sce00280 Valine, leucine and isoleucine degradation   sce00620 Pyruvate metabolism   sce00630 Glyoxylate and dicarboxylate metabolism   sce00640 Propanoate metabolism   sce00670 One carbon pool by folate	imm904
r_0505	sce00260  glycine, serine and threonine metabolism 	sce00010 Glycolysis   Gluconeogenesis   sce00020 Citrate cycle (TCA cycle)   sce00280 Valine, leucine and isoleucine degradation   sce00310 Lysine degradation   sce00380 Tryptophan metabolism   sce00620 Pyruvate metabolism   sce00630 Glyoxylate and dicarboxylate metabolism   sce00640 Propanoate metabolism   sce00670 One carbon pool by folate	imm904
r_0506	sce00260  glycine, serine and threonine metabolism 	sce00010 Glycolysis   Gluconeogenesis   sce00020 Citrate cycle (TCA cycle)   sce00280 Valine, leucine and isoleucine degradation   sce00620 Pyruvate metabolism   sce00630 Glyoxylate and dicarboxylate metabolism   sce00640 Propanoate metabolism   sce00670 One carbon pool by folate	imm904
r_0507	sce00260  glycine, serine and threonine metabolism 	sce00010 Glycolysis   Gluconeogenesis   sce00020 Citrate cycle (TCA cycle)   sce00280 Valine, leucine and isoleucine degradation   sce00620 Pyruvate metabolism   sce00630 Glyoxylate and dicarboxylate metabolism   sce00640 Propanoate metabolism   sce00670 One carbon pool by folate	imm904
r_0508	sce00260  glycine, serine and threonine metabolism 	sce00010 Glycolysis   Gluconeogenesis   sce00020 Citrate cycle (TCA cycle)   sce00280 Valine, leucine and isoleucine degradation   sce00620 Pyruvate metabolism   sce00630 Glyoxylate and dicarboxylate metabolism   sce00640 Propanoate metabolism   sce00670 One carbon pool by folate	imm904
r_0509	sce00260  glycine, serine and threonine metabolism 	sce00010 Glycolysis   Gluconeogenesis   sce00020 Citrate cycle (TCA cycle)   sce00280 Valine, leucine and isoleucine degradation   sce00620 Pyruvate metabolism   sce00630 Glyoxylate and dicarboxylate metabolism   sce00640 Propanoate metabolism   sce00670 One carbon pool by folate	imm904
r_0510	sce00500  starch and sucrose metabolism 		
r_0511	sce00500  starch and sucrose metabolism 		
r_0512	sce00970  aminoacyl-trna biosynthesis 		
r_0514	sce00230  purine metabolism 		
r_0518	sce00563  glycosylphosphatidylinositol gpi)-anchor biosynthesis 		
r_0519	sce00563  glycosylphosphatidylinositol gpi)-anchor biosynthesis 		
r_0520	sce00563  glycosylphosphatidylinositol gpi)-anchor biosynthesis 		
r_0521	sce00563  glycosylphosphatidylinositol gpi)-anchor biosynthesis 		
r_0522	sce00563  glycosylphosphatidylinositol gpi)-anchor biosynthesis 		
r_0523	sce00563  glycosylphosphatidylinositol gpi)-anchor biosynthesis 		
r_0524	sce00790  folate biosynthesis 		
r_0525	sce00740  riboflavin metabolism 	sce00790 Folate biosynthesis	ito980 and imm904
r_0526	sce00230  purine metabolism 		
r_0527	sce00230  purine metabolism 		
r_0528	sce00230  purine metabolism 		
r_0529	sce00230  purine metabolism 		
r_0530	other		ito980 and imm904
r_0531	sce00860  porphyrin and chlorophyll metabolism 	sce00190 Oxidative phosphorylation	MNX
r_0532	sce00130  ubiquinone and other terpenoid-quinone biosynthesis 		
r_0533	sce00010  glycolysis / gluconeogenesis 	sce00051 Fructose and mannose metabolism   sce00052 Galactose metabolism   sce00500 Starch and sucrose metabolism   sce00520 Amino sugar and nucleotide sugar metabolism	ito980
r_0534	sce00010  glycolysis / gluconeogenesis 	sce00051 Fructose and mannose metabolism   sce00052 Galactose metabolism   sce00500 Starch and sucrose metabolism   sce00520 Amino sugar and nucleotide sugar metabolism	ito980
r_0535	sce00010  glycolysis / gluconeogenesis 	sce00051 Fructose and mannose metabolism   sce00052 Galactose metabolism   sce00500 Starch and sucrose metabolism   sce00520 Amino sugar and nucleotide sugar metabolism	ito980
r_0536	sce00340  histidine metabolism 		
r_0537	sce00340  histidine metabolism 		
r_0538	sce00340  histidine metabolism 	sce00350 Tyrosine metabolism   sce00360 Phenylalanine metabolism   sce00400 Phenylalanine, tyrosine and tryptophan biosynthesis	ito980 and imm904
r_0539	sce00970  aminoacyl-trna biosynthesis 		
r_0540	sce00970  aminoacyl-trna biosynthesis 		
r_0541	sce00340  histidine metabolism 		MNX
r_0542	lysine metabolism	sce00300 Lysine biosynthesis  sce01210 2-Oxocarboxylic acid metabolism	ito980
r_0543	sce00620  pyruvate metabolism 	sce00300 Lysine biosynthesis   sce01210 2-Oxocarboxylic acid metabolism	imm904 and ito980
r_0544	sce00270  cysteine and methionine metabolism 		
r_0545	lysine metabolism	sce00300 Lysine biosynthesis  sce01210 2-Oxocarboxylic acid metabolism	ito980
r_0546	sce00260  glycine, serine and threonine metabolism 	sce00270 Cysteine and methionine metabolism   sce00300 Lysine biosynthesis	ito980
r_0547	sce00260  glycine, serine and threonine metabolism 	sce00270 Cysteine and methionine metabolism   sce00300 Lysine biosynthesis	ito980
r_0548	sce00260  glycine, serine and threonine metabolism 		
r_0549	sce00270  cysteine and methionine metabolism 		
r_0550	sce04122  sulfur relay system 		imm904
r_0551	sce04122  sulfur relay system 		imm904
r_0552	sce04122  sulfur relay system 		
r_0553	sce00620  pyruvate metabolism 		
r_0554	sce00620  pyruvate metabolism 		
r_0555	sce00130  ubiquinone and other terpenoid-quinone biosynthesis 		
r_0556	sce00730  thiamine metabolism 		
r_0557	sce00860  porphyrin and chlorophyll metabolism 		
r_0558	sce00900  terpenoid backbone biosynthesis 		
r_0559	sce00900  terpenoid backbone biosynthesis 	sce00072 Synthesis and degradation of ketone bodies   sce00280 Valine, leucine and isoleucine degradation   sce00650 Butanoate metabolism	kegg
r_0560	sce00900  terpenoid backbone biosynthesis 	sce00072 Synthesis and degradation of ketone bodies   sce00280 Valine, leucine and isoleucine degradation   sce00650 Butanoate metabolism	kegg
r_0561	sce00730  thiamine metabolism 		
r_0562	sce00230  purine metabolism 		
r_0563	sce00340  histidine metabolism 		
r_0564	sce00340  histidine metabolism 		
r_0565	sce00230  purine metabolism 		
r_0566	sce00400  phenylalanine, tyrosine and tryptophan biosynthesis 		
r_0567	sce00380  tryptophan metabolism 	sce00010 Glycolysis   Gluconeogenesis	MNX
r_0568	sce00190  oxidative phosphorylation 		
r_0569	sce00190  oxidative phosphorylation 		
r_0570	sce00230  purine metabolism 	sce00670 One carbon pool by folate	ito980
r_0571	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system	Phospholipid biosynthesis in ito980
r_0572	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04138 Autophagy – yeast	Phospholipid biosynthesis in ito980
r_0573	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04138 Autophagy – yeast	Phospholipid biosynthesis in ito980
r_0574	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04138 Autophagy – yeast	Phospholipid biosynthesis in ito980
r_0575	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce04138 Autophagy – yeast	Phospholipid biosynthesis in ito980
r_0596	sce00600  sphingolipid metabolism 		
r_0597	sce00600  sphingolipid metabolism 		
r_0598	sce00600  sphingolipid metabolism 		
r_0599	sce00600  sphingolipid metabolism 		
r_0600	sce00600  sphingolipid metabolism 		
r_0601	sce00600  sphingolipid metabolism 		
r_0602	sce00600  sphingolipid metabolism 		
r_0603	sce00600  sphingolipid metabolism 		
r_0604	sce00600  sphingolipid metabolism 		
r_0605	sce00600  sphingolipid metabolism 		
r_0606	sce00600  sphingolipid metabolism 		
r_0607	sce00600  sphingolipid metabolism 		
r_0608	sce00600  sphingolipid metabolism 		
r_0609	sce00600  sphingolipid metabolism 		
r_0610	sce00600  sphingolipid metabolism 		
r_0611	sce00600  sphingolipid metabolism 		
r_0612	sce00600  sphingolipid metabolism 		
r_0613	sce00600  sphingolipid metabolism 		
r_0614	sce00600  sphingolipid metabolism 		
r_0615	sce00600  sphingolipid metabolism 		
r_0616	sce00600  sphingolipid metabolism 		
r_0617	sce00600  sphingolipid metabolism 		
