Abbreviation	Subsystem_new	removed_duplicate_subsystem	evidence
r_0988	lysine metabolism	sce00300 Lysine biosynthesis   sce00310 Lysine degradation	
r_0989	lysine metabolism	sce00300 Lysine biosynthesis   sce00310 Lysine degradation	
r_0990	sce00010  glycolysis / gluconeogenesis 	sce00030 Pentose phosphate pathway   sce00051 Fructose and mannose metabolism	ito980
r_0992	sce00270  cysteine and methionine metabolism 		imm904
r_0993	sce00600  sphingolipid metabolism 		
r_0995	sce00970  aminoacyl-trna biosynthesis 		
r_0996	sce00400  phenylalanine, tyrosine and tryptophan biosynthesis 		
r_0997	sce00400  phenylalanine, tyrosine and tryptophan biosynthesis 		
r_0998	sce00860  porphyrin and chlorophyll metabolism 		
r_0999	sce00860  porphyrin and chlorophyll metabolism 		
r_1000	carbon fixation pathways in prokaryotes		kegg
r_1001	sce00330  arginine and proline metabolism 	sce00410 beta-Alanine metabolism   sce00480 Glutathione metabolism   sce00270 Cysteine and methionine metabolism	ito980 and imm904
r_1002	sce00330  arginine and proline metabolism 	sce00410 beta-Alanine metabolism   sce00480 Glutathione metabolism  sce00270 Cysteine and methionine metabolism	ito980 and imm904
r_1003	sce00600  sphingolipid metabolism 		
r_1004	sce00600  sphingolipid metabolism 		
r_1005	sce00600  sphingolipid metabolism 		
r_1006	sce00600  sphingolipid metabolism 		
r_1007	sce00600  sphingolipid metabolism 		
r_1008	sce00660  c5-branched dibasic acid metabolism 		kegg
r_1009	sce00660  c5-branched dibasic acid metabolism 		kegg
r_1010	sce00100  steroid biosynthesis 	sce00909 Sesquiterpenoid and triterpenoid biosynthesis	ito980
r_1011	sce00100  steroid biosynthesis 	sce00909 Sesquiterpenoid and triterpenoid biosynthesis	ito980
r_1012	sce00100  steroid biosynthesis 	sce00909 Sesquiterpenoid and triterpenoid biosynthesis	ito980
r_1021	sce00020  citrate cycle gpi cycle) 	sce00190 Oxidative phosphorylation	ito980 and imm904
r_1022	sce00020  citrate cycle gpi cycle) 	sce00640 Propanoate metabolism	ito980
r_1023	sce00250  alanine, aspartate and glutamate metabolism 	sce00310 Lysine degradation   sce00350 Tyrosine metabolism   sce00650 Butanoate metabolism   sce00760 Nicotinate and nicotinamide metabolism	ito980 and imm904
r_1024	sce00500  starch and sucrose metabolism 	sce00052 Galactose metabolism	MNX
r_1025	sce00920  sulfur metabolism 	sce00261 Monobactam biosynthesis   sce00450 Selenocompound metabolism  sce00230 Purine metabolism	MNX
r_1026	sce00920  sulfur metabolism 	sce00230 Purine metabolism	MNX
r_1027	sce00920  sulfur metabolism 		
r_1029	sce00920  sulfur metabolism 		imm904
r_1030	sce00670  one carbon pool by folate 	sce00010 Glycolysis   Gluconeogenesis   sce00020 Citrate cycle (TCA cycle)   sce00260 Glycine, serine and threonine metabolism   sce00280 Valine, leucine and isoleucine degradation   sce00620 Pyruvate metabolism   sce00630 Glyoxylate and dicarboxylate metabolism   sce00640 Propanoate metabolism	MNX
r_1031	sce00790  folate biosynthesis 		
r_1032	sce00730  thiamine metabolism 	sce00740 Riboflavin metabolism	ito980
r_1033	sce00730  thiamine metabolism 	sce00740 Riboflavin metabolism	ito980
r_1034	sce00730  thiamine metabolism 		
r_1035	sce00730  thiamine metabolism 		
r_1036	sce00730  thiamine metabolism 		
r_1037	sce00480  glutathione metabolism 		kegg
r_1038	sce00450  selenocompound metabolism 		
r_1039	sce00450  selenocompound metabolism 	sce00450 Selenocompound metabolism   sce00480 Glutathione metabolism	subsystem in kegg can’t be found
r_1040	sce00260  glycine, serine and threonine metabolism 		
r_1041	sce00260  glycine, serine and threonine metabolism 	sce00750 Vitamin B6 metabolism	MNX
r_1042	sce00970  aminoacyl-trna biosynthesis 		
r_1043	sce00970  aminoacyl-trna biosynthesis 		
r_1045	sce00240  pyrimidine metabolism 	sce00670 One carbon pool by folate	ito980
r_1046	other		ito980
r_1047	sce00900  terpenoid backbone biosynthesis 		
r_1048	sce00030  pentose phosphate pathway 		ito980
r_1049	sce00030  pentose phosphate pathway 		ito980
r_1050	sce00030  pentose phosphate pathway 		ito980
r_1051	sce00500  starch and sucrose metabolism 		
r_1054	sce00010  glycolysis / gluconeogenesis 	sce00051 Fructose and mannose metabolism   sce00562 Inositol phosphate metabolism	ito980
r_1055	sce00400  phenylalanine, tyrosine and tryptophan biosynthesis 	sce00260 Glycine, serine and threonine metabolism	ito980
r_1056	sce00400  phenylalanine, tyrosine and tryptophan biosynthesis 	sce00130 Ubiquinone and other terpenoid-quinone biosynthesis   sce00270 Cysteine and methionine metabolism   sce00300 Lysine biosynthesis   sce00350 Tyrosine metabolism   sce00360 Phenylalanine metabolism   sce00380 Tryptophan metabolism  sce01210 2-Oxocarboxylic acid metabolism	imm904 and ito980
r_1057	sce00970  aminoacyl-trna biosynthesis 		
r_1058	sce00970  aminoacyl-trna biosynthesis 		
r_1063	sce00350  tyrosine metabolism 	sce00130 Ubiquinone and other terpenoid-quinone biosynthesis   sce00270 Cysteine and methionine metabolism   sce00300 Lysine biosynthesis   sce00350 Tyrosine metabolism   sce00360 Phenylalanine metabolism   sce00380 Tryptophan metabolism   sce01210 2-Oxocarboxylic acid metabolism  sce00400 Phenylalanine, tyrosine and tryptophan biosynthesis	ito980 and imm904
r_1065	sce00350  tyrosine metabolism 	sce00220 Arginine biosynthesis   sce00250 Alanine, aspartate and glutamate metabolism   sce00270 Cysteine and methionine metabolism   sce00330 Arginine and proline metabolism   sce00360 Phenylalanine metabolism   sce00400 Phenylalanine, tyrosine and tryptophan biosynthesis   sce01110 Biosynthesis of secondary metabolites   sce01130 Biosynthesis of antibiotics   sce01200 Carbon metabolism   sce01210 2-Oxocarboxylic acid metabolism   sce01230 Biosynthesis of amino acids	ito980
r_1066	sce00970  aminoacyl-trna biosynthesis 		
r_1067	sce00970  aminoacyl-trna biosynthesis 		
r_1068	none		kegg and ito980
r_1069	sce00520  amino sugar and nucleotide sugar metabolism 		kegg and MNX
r_1070	sce00052  galactose metabolism 	sce00010 Glycolysis   Gluconeogenesis   sce00520 Amino sugar and nucleotide sugar metabolism	ito980
r_1071	sce00052  galactose metabolism 	sce00520 Amino sugar and nucleotide sugar metabolism	ito980
r_1072	sce00240  pyrimidine metabolism 		
r_1073	sce00240  pyrimidine metabolism 		
r_1074	sce00240  pyrimidine metabolism 		
r_1075	sce00220  arginine biosynthesis 	sce00791 Atrazine degradation	"EC should be 6.3.4.6 ?; MNX"
r_1076	sce00230  purine metabolism 		
r_1077	sce00240  pyrimidine metabolism 		
r_1078	sce00240  pyrimidine metabolism 		
r_1079	sce00240  pyrimidine metabolism 		
r_1080	sce00240  pyrimidine metabolism 		
r_1081	sce00860  porphyrin and chlorophyll metabolism 		ito980
r_1082	sce00860  porphyrin and chlorophyll metabolism 		ito980
r_1083	sce00860  porphyrin and chlorophyll metabolism 		ito980
r_1084	sce00052  galactose metabolism 	sce00040 Pentose and glucuronate interconversions   sce00500 Starch and sucrose metabolism   sce00520 Amino sugar and nucleotide sugar metabolism	ito980
r_1087	valine, leucine, and isoleucine metabolism	sce00280 Valine, leucine and isoleucine degradation  sce00290 Valine, leucine and isoleucine biosynthesis   sce00770 Pantothenate and CoA biosynthesis  sce01210 2-Oxocarboxylic acid metabolism  sce00270 Cysteine and methionine metabolism	ito980 and imm904
r_1088	valine, leucine, and isoleucine metabolism	sce00280 Valine, leucine and isoleucine degradation  sce00290 Valine, leucine and isoleucine biosynthesis   sce00770 Pantothenate and CoA biosynthesis  sce01210 2-Oxocarboxylic acid metabolism  sce00270 Cysteine and methionine metabolism	ito980 and imm904
r_1089	sce00970  aminoacyl-trna biosynthesis 		
r_1090	sce00970  aminoacyl-trna biosynthesis 		
r_1091	sce00230  purine metabolism 		MNX
r_1092	sce00040  pentose and glucuronate interconversions 		
r_1093	sce00040  pentose and glucuronate interconversions 		
r_1094	sce00040  pentose and glucuronate interconversions 		
r_1095	sce00240  pyrimidine metabolism 		ito980
r_1619	sce00230  purine metabolism 		MNX
r_1838	sce00620  pyruvate metabolism 	sce00300 Lysine biosynthesis   sce01210 2-Oxocarboxylic acid metabolism	imm904 and ito980
r_2029	sce00750  vitamin b6 metabolism 		
r_2112	sce00380  tryptophan metabolism 		
r_2113	sce00380  tryptophan metabolism 		kegg
r_2114	sce00380  tryptophan metabolism 		MNX
r_2115	sce00010  glycolysis / gluconeogenesis 	sce00071 Fatty acid degradation   sce00350 Tyrosine metabolism	kegg and MNX
r_2116	sce00010  glycolysis / gluconeogenesis 	sce00340 Histidine metabolism   sce00350 Tyrosine metabolism   sce00360 Phenylalanine metabolism   sce00410 beta-Alanine metabolism	kegg and MNX
r_2117	sce00400  phenylalanine, tyrosine and tryptophan biosynthesis 	sce00350 Tyrosine metabolism   sce00360 Phenylalanine metabolism	ito980
r_2118	sce00400  phenylalanine, tyrosine and tryptophan biosynthesis 	sce00350 Tyrosine metabolism   sce00360 Phenylalanine metabolism	ito980
r_2119	sce00400  phenylalanine, tyrosine and tryptophan biosynthesis 	sce00350 Tyrosine metabolism   sce00360 Phenylalanine metabolism	ito980
r_2126	carbon fixation in photosynthetic organisms		kegg and MNX
r_2131	sce00020  citrate cycle gpi cycle) 	sce00480 Glutathione metabolism   sce01210 2-Oxocarboxylic acid metabolism   sce04146 Peroxisome	ito980
r_2140	sce00061  fatty acid biosynthesis 	sce01212 Fatty acid metabolism	ito980
r_2141	sce00061  fatty acid biosynthesis 	sce01212 Fatty acid metabolism	ito980
r_2142	sce00061  fatty acid biosynthesis 	sce00190 Oxidative phosphorylation   sce00780 Biotin metabolism   sce01212 Fatty acid metabolism	Mitochondrial type II fatty acid synthase in ito980
r_2143	sce00061  fatty acid biosynthesis 	sce00190 Oxidative phosphorylation   sce00780 Biotin metabolism   sce01212 Fatty acid metabolism	Mitochondrial type II fatty acid synthase in ito980
r_2144	sce00061  fatty acid biosynthesis 	sce00190 Oxidative phosphorylation   sce00780 Biotin metabolism   sce01212 Fatty acid metabolism	Mitochondrial type II fatty acid synthase in ito980
r_2145	sce00061  fatty acid biosynthesis 	sce00780 Biotin metabolism   sce01040 Biosynthesis of unsaturated fatty acids   sce01212 Fatty acid metabolism	Mitochondrial type II fatty acid synthase in ito980
r_2146	sce00061  fatty acid biosynthesis 	sce00780 Biotin metabolism   sce01040 Biosynthesis of unsaturated fatty acids   sce01212 Fatty acid metabolism	Mitochondrial type II fatty acid synthase in ito980
r_2147	sce00061  fatty acid biosynthesis 	sce00780 Biotin metabolism   sce01040 Biosynthesis of unsaturated fatty acids   sce01212 Fatty acid metabolism	Mitochondrial type II fatty acid synthase in ito980
r_2148	sce00061  fatty acid biosynthesis 		ito980
r_2149	sce00061  fatty acid biosynthesis 		ito980
r_2150	sce00061  fatty acid biosynthesis 		ito980
r_2151	sce00062  fatty acid elongation 	sce01212 Fatty acid metabolism	"EC should be 1.3.1.38?; ito980"
r_2152	sce00062  fatty acid elongation 	sce01212 Fatty acid metabolism	"EC should be 1.3.1.38?; ito980"
r_2153	sce00062  fatty acid elongation 	sce01212 Fatty acid metabolism	"EC should be 1.3.1.38?; ito980"
r_2154	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2155	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2156	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2157	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2158	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2159	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2160	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2161	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2162	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2163	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2164	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2165	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2166	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2167	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2168	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2169	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2170	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2171	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2172	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2173	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2174	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2175	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2176	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2177	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2178	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2179	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2180	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2181	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation   sce01212 Fatty acid metabolism	Fatty acid biosynthesis in ito980
r_2182	sce01040  biosynthesis of unsaturated fatty acids 	sce01212 Fatty acid metabolism	ito980
r_2183	sce01040  biosynthesis of unsaturated fatty acids 	sce01212 Fatty acid metabolism	ito980
r_2194	sce00061  fatty acid biosynthesis 		ito980
r_2195	sce00061  fatty acid biosynthesis 		ito980
r_2196	sce00061  fatty acid biosynthesis 		ito980
r_2197	sce00061  fatty acid biosynthesis 		ito980
r_2198	sce00061  fatty acid biosynthesis 		ito980
r_2199	sce00061  fatty acid biosynthesis 		ito980
r_2200	sce00061  fatty acid biosynthesis 		ito980
r_2201	sce00061  fatty acid biosynthesis 		ito980
r_2202	sce00061  fatty acid biosynthesis 		ito980
r_2203	sce00061  fatty acid biosynthesis 		ito980
r_2204	sce00061  fatty acid biosynthesis 		ito980
r_2205	sce00061  fatty acid biosynthesis 		ito980
r_2206	sce00061  fatty acid biosynthesis 		ito980
r_2207	sce00061  fatty acid biosynthesis 		ito980
r_2208	sce00061  fatty acid biosynthesis 		ito980
r_2209	sce00061  fatty acid biosynthesis 		ito980
r_2210	sce00061  fatty acid biosynthesis 		ito980
r_2211	sce00061  fatty acid biosynthesis 		ito980
r_2212	sce00061  fatty acid biosynthesis 		ito980
r_2213	sce00061  fatty acid biosynthesis 		ito980
r_2214	sce00061  fatty acid biosynthesis 		ito980
r_2215	sce00061  fatty acid biosynthesis 		ito980
r_2216	sce00061  fatty acid biosynthesis 		ito980
r_2217	sce00061  fatty acid biosynthesis 		ito980
r_2218	sce00061  fatty acid biosynthesis 		ito980
r_2232	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation	MNX
r_2233	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation	MNX
r_2234	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation	MNX
r_2235	sce01040  biosynthesis of unsaturated fatty acids 	sce00062 Fatty acid elongation	MNX
r_2236	sce00071  fatty acid degradation 	sce01212 Fatty acid metabolism   sce04146 Peroxisome  sce01040 Biosynthesis of unsaturated fatty acids	Fatty acid degradation in ito980
r_2237	sce00071  fatty acid degradation 	sce01212 Fatty acid metabolism   sce04146 Peroxisome  sce01040 Biosynthesis of unsaturated fatty acids	Fatty acid degradation in ito980
r_2238	sce00071  fatty acid degradation 	sce01212 Fatty acid metabolism   sce04146 Peroxisome  sce01040 Biosynthesis of unsaturated fatty acids	Fatty acid degradation in ito980
r_2239	sce00071  fatty acid degradation 	sce01212 Fatty acid metabolism   sce04146 Peroxisome  sce01040 Biosynthesis of unsaturated fatty acids	Fatty acid degradation in ito980
r_2240	sce00071  fatty acid degradation 	sce01212 Fatty acid metabolism   sce04146 Peroxisome  sce01040 Biosynthesis of unsaturated fatty acids	Fatty acid degradation in ito980
r_2241	sce00071  fatty acid degradation 	sce01212 Fatty acid metabolism   sce04146 Peroxisome  sce01040 Biosynthesis of unsaturated fatty acids	Fatty acid degradation in ito980
r_2242	sce00071  fatty acid degradation 	sce01212 Fatty acid metabolism   sce04146 Peroxisome  sce01040 Biosynthesis of unsaturated fatty acids	Fatty acid degradation in ito980
r_2243	sce00071  fatty acid degradation 	sce01212 Fatty acid metabolism   sce04146 Peroxisome  sce01040 Biosynthesis of unsaturated fatty acids	Fatty acid degradation in ito980
r_2244	sce00071  fatty acid degradation 	sce01212 Fatty acid metabolism   sce04146 Peroxisome  sce01040 Biosynthesis of unsaturated fatty acids	Fatty acid degradation in ito980
r_2245	sce00071  fatty acid degradation 	sce01212 Fatty acid metabolism   sce04146 Peroxisome  sce01040 Biosynthesis of unsaturated fatty acids	Fatty acid degradation in ito980
r_2246	sce00071  fatty acid degradation 	sce01212 Fatty acid metabolism   sce04146 Peroxisome  sce01040 Biosynthesis of unsaturated fatty acids	Fatty acid degradation in ito980
r_2247	sce00071  fatty acid degradation 	sce01212 Fatty acid metabolism   sce04146 Peroxisome  sce01040 Biosynthesis of unsaturated fatty acids	Fatty acid degradation in ito980
r_2248	sce00071  fatty acid degradation 		ito980
r_2249	sce00071  fatty acid degradation 		ito980
r_2250	sce00071  fatty acid degradation 		ito980
r_2251	sce00071  fatty acid degradation 		ito980
r_2252	sce00071  fatty acid degradation 		ito980
r_2253	sce00071  fatty acid degradation 		ito980
r_2254	sce00071  fatty acid degradation 		ito980
r_2255	sce00071  fatty acid degradation 		ito980
r_2256	sce00071  fatty acid degradation 		ito980
r_2257	sce00071  fatty acid degradation 		ito980
r_2258	sce00071  fatty acid degradation 		ito980
r_2259	sce00071  fatty acid degradation 		ito980
r_2260	sce00071  fatty acid degradation 		ito980
r_2261	sce00071  fatty acid degradation 		ito980
r_2262	sce00071  fatty acid degradation 		ito980
r_2263	sce00071  fatty acid degradation 		ito980
r_2264	sce00071  fatty acid degradation 		ito980
r_2265	sce00071  fatty acid degradation 		ito980
r_2266	sce00071  fatty acid degradation 		ito980
r_2267	sce00071  fatty acid degradation 		ito980
r_2268	sce00071  fatty acid degradation 		ito980
r_2269	sce00071  fatty acid degradation 		ito980
r_2270	sce00071  fatty acid degradation 		ito980
r_2271	sce00071  fatty acid degradation 		ito980
r_2272	sce00071  fatty acid degradation 		ito980
r_2273	sce00071  fatty acid degradation 		ito980
r_2274	sce00071  fatty acid degradation 		ito980
r_2275	sce00071  fatty acid degradation 		ito980
r_2276	sce00071  fatty acid degradation 		ito980
r_2277	sce00071  fatty acid degradation 		ito980
r_2278	sce00071  fatty acid degradation 		ito980
r_2279	sce00071  fatty acid degradation 		ito980
r_2280	sce00071  fatty acid degradation 		ito980
r_2281	sce00071  fatty acid degradation 		ito980
r_2282	sce00071  fatty acid degradation 		ito980
r_2283	sce00071  fatty acid degradation 	sce00280 Valine, leucine and isoleucine degradation   sce01040 Biosynthesis of unsaturated fatty acids   sce01212 Fatty acid metabolism   sce04146 Peroxisome	Fatty Acid Degradation in ito980
r_2284	sce00071  fatty acid degradation 	sce00280 Valine, leucine and isoleucine degradation   sce01040 Biosynthesis of unsaturated fatty acids   sce01110 Biosynthesis of secondary metabolites   sce01130 Biosynthesis of antibiotics   sce01212 Fatty acid metabolism   sce04146 Peroxisome	ito980
r_2285	sce00071  fatty acid degradation 	sce00280 Valine, leucine and isoleucine degradation   sce01040 Biosynthesis of unsaturated fatty acids   sce01212 Fatty acid metabolism   sce04146 Peroxisome	Fatty Acid Degradation in ito980
r_2286	sce00071  fatty acid degradation 	sce00280 Valine, leucine and isoleucine degradation   sce01040 Biosynthesis of unsaturated fatty acids   sce01212 Fatty acid metabolism   sce04146 Peroxisome	Fatty Acid Degradation in ito980
r_2287	sce00071  fatty acid degradation 	sce00280 Valine, leucine and isoleucine degradation   sce01040 Biosynthesis of unsaturated fatty acids   sce01212 Fatty acid metabolism   sce04146 Peroxisome	Fatty Acid Degradation in ito980
r_2288	sce00071  fatty acid degradation 	sce00280 Valine, leucine and isoleucine degradation   sce01040 Biosynthesis of unsaturated fatty acids   sce01212 Fatty acid metabolism   sce04146 Peroxisome	Fatty Acid Degradation in ito980
r_2289	sce00071  fatty acid degradation 	sce00280 Valine, leucine and isoleucine degradation   sce01040 Biosynthesis of unsaturated fatty acids   sce01212 Fatty acid metabolism   sce04146 Peroxisome	Fatty Acid Degradation in ito980
r_2290	sce00071  fatty acid degradation 	sce00280 Valine, leucine and isoleucine degradation   sce01040 Biosynthesis of unsaturated fatty acids   sce01212 Fatty acid metabolism   sce04146 Peroxisome	Fatty Acid Degradation in ito980
r_2291	sce00071  fatty acid degradation 	sce00280 Valine, leucine and isoleucine degradation   sce01040 Biosynthesis of unsaturated fatty acids   sce01212 Fatty acid metabolism   sce04146 Peroxisome	Fatty Acid Degradation in ito980
r_2292	sce00071  fatty acid degradation 	sce00280 Valine, leucine and isoleucine degradation   sce01040 Biosynthesis of unsaturated fatty acids   sce01212 Fatty acid metabolism   sce04146 Peroxisome	Fatty Acid Degradation in ito980
r_2293	sce00071  fatty acid degradation 	sce00280 Valine, leucine and isoleucine degradation   sce01040 Biosynthesis of unsaturated fatty acids   sce01212 Fatty acid metabolism   sce04146 Peroxisome	Fatty Acid Degradation in ito980
r_2294	sce00071  fatty acid degradation 	sce00280 Valine, leucine and isoleucine degradation   sce01040 Biosynthesis of unsaturated fatty acids   sce01212 Fatty acid metabolism   sce04146 Peroxisome	Fatty Acid Degradation in ito980
r_2295	sce00071  fatty acid degradation 	sce04146 Peroxisome, kegg	
r_2296	sce00071  fatty acid degradation 	sce04146 Peroxisome, kegg	
r_2297	sce00071  fatty acid degradation 	sce04146 Peroxisome, kegg	
r_2298	sce00071  fatty acid degradation 	sce04146 Peroxisome, kegg	
r_2299	sce00071  fatty acid degradation 	sce04146 Peroxisome, kegg	
r_2300	sce00071  fatty acid degradation 	sce04146 Peroxisome, kegg	
r_2301	sce00071  fatty acid degradation 		kegg
r_2302	sce00071  fatty acid degradation 		kegg
r_2303	sce04146  peroxisome 	sce04146 Peroxisome	ito980
r_2304	sce04146  peroxisome 	sce04146 Peroxisome	ito980
r_2305	sce00020  citrate cycle gpi cycle) 	sce00630 Glyoxylate and dicarboxylate metabolism   sce01210 2-Oxocarboxylic acid metabolism	ito980
r_2308	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2309	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2310	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2311	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2312	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2313	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2314	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2315	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2316	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2317	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2318	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2319	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2320	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2321	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2322	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2323	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2324	sce00564  glycerophospholipid metabolism 		
r_2325	sce00564  glycerophospholipid metabolism 		
r_2326	sce00564  glycerophospholipid metabolism 		
r_2327	sce00564  glycerophospholipid metabolism 		
r_2328	sce00564  glycerophospholipid metabolism 		
r_2329	sce00564  glycerophospholipid metabolism 		
r_2330	sce00564  glycerophospholipid metabolism 		
r_2331	sce00564  glycerophospholipid metabolism 		
r_2332	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2333	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2334	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2335	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2336	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2337	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2338	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2339	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		
r_2340	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 	sce00100 Steroid biosynthesis	ito980
r_2341	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 	sce00100 Steroid biosynthesis	ito980
r_2342	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 	sce00100 Steroid biosynthesis	ito980
r_2343	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 	sce00100 Steroid biosynthesis	ito980
r_2344	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2345	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
